I,web_name  ,team,T,VA/M ,pt,g,p/g ,min,min/g,price,%   
S,Agüero    ,MCI ,F,0.53 ,41,5,8.2 ,376,75.0 ,11.6 ,23.2
R,Lukaku    ,MUN ,F,0.46 ,37,5,7.4 ,450,90.0 ,11.7 ,55.7
J,Vardy     ,LEI ,F,0.54 ,33,5,6.6 ,426,85.0 ,8.5  ,10.8
Á,Morata    ,CHE ,F,0.41 ,31,5,6.2 ,364,72.0 ,10.2 ,17.4
R,Firmino   ,LIV ,F,0.46 ,30,5,6.0 ,392,78.0 ,8.7  ,28.8
G,Jesus     ,MCI ,F,0.36 ,29,5,5.8 ,323,64.0 ,10.5 ,12.8
D,Welbeck   ,ARS ,F,0.45 ,27,5,5.4 ,400,80.0 ,7.5  ,2.0 
M,Rashford  ,MUN ,F,0.32 ,22,5,4.4 ,307,61.0 ,7.5  ,7.2 
S,Mounie    ,HUD ,F,0.38 ,17,4,4.3 ,355,88.0 ,6.0  ,2.6 
W,Rooney    ,EVE ,F,0.29 ,21,5,4.2 ,440,88.0 ,7.5  ,15.7
~,~~~~~~~~  ,~~~~,~,~~~~ ,~~,~,4.07,~~~,~~~~~,~~~~~,~   
J,Chicharito,WHU ,F,0.29 ,20,5,4.0 ,408,81.0 ,7.0  ,20.6
S,Vokes     ,BUR ,F,0.3  ,19,5,3.8 ,302,60.0 ,6.1  ,5.6 
H,Kane      ,TOT ,F,0.14 ,19,5,3.8 ,444,88.0 ,12.5 ,27.5
A,Lacazette ,ARS ,F,0.14 ,17,5,3.4 ,335,67.0 ,10.3 ,10.7
T,Hemed     ,BHA ,F,0.29 ,17,5,3.4 ,345,69.0 ,4.9  ,2.5 
T,Abraham   ,SWA ,F,0.22 ,16,5,3.2 ,400,80.0 ,5.5  ,4.2 
M,Gabbiadini,SOU ,F,0.12 ,14,5,2.8 ,286,57.0 ,6.9  ,3.2 
M,Diouf     ,STK ,F,0.15 ,11,4,2.8 ,360,90.0 ,5.4  ,0.4 
J,Ayew      ,SWA ,F,0.16 ,14,5,2.8 ,450,90.0 ,5.0  ,3.0 
J,Defoe     ,BOU ,F,0.08 ,13,5,2.6 ,276,55.0 ,7.8  ,2.5 
A,Pérez     ,NEW ,F,0.11 ,13,5,2.6 ,434,86.0 ,5.5  ,1.2 
J,Rodriguez ,WBA ,F,0.07 ,12,5,2.4 ,444,88.0 ,5.9  ,1.4 
A,Gray      ,WAT ,F,0.03 ,11,5,2.2 ,355,71.0 ,6.4  ,1.4 
J,King      ,BOU ,F,0.0  ,10,5,2.0 ,450,90.0 ,7.3  ,2.3 
C,Benteke   ,CRY ,F,-0.08,7 ,5,1.4 ,450,90.0 ,7.7  ,3.6 
