I,web_name,team,T,VA/M,pt,g,p/g,min,min/g,price,%
P,Pogba,MUN,M,0.72,31,4,7.8,360,90.0,8.1,16.7
H,Mkhitaryan,MUN,M,0.64,37,5,7.4,414,82.0,8.5,32.6
M,Salah,LIV,M,0.52,34,5,6.8,339,67.0,9.2,34.0
C,Eriksen,TOT,M,0.47,33,5,6.6,427,85.0,9.7,27.1
P,Groß,BHA,M,0.79,32,5,6.4,407,81.0,5.6,10.2
D,David Silva,MCI,M,0.48,30,5,6.0,437,87.0,8.3,17.4
A,Doucouré,WAT,M,0.65,27,5,5.4,450,90.0,5.2,10.4
S,Mané,LIV,M,0.32,20,4,5.0,289,72.0,9.5,11.8
B,Alli,TOT,M,0.32,25,5,5.0,441,88.0,9.5,31.6
M,Ritchie,NEW,M,0.47,24,5,4.8,447,89.0,6.0,5.3
S,Davis,SOU,M,0.56,24,5,4.8,439,87.0,5.0,2.6
A,Mooy,HUD,M,0.46,23,5,4.6,450,90.0,5.7,11.8
K,De Bruyne,MCI,M,0.26,23,5,4.6,425,85.0,10.0,19.1
E,Choupo-Moting,STK,M,0.46,23,5,4.6,378,75.0,5.6,5.1
R,Richarlison,WAT,M,0.43,23,5,4.6,390,78.0,6.0,4.3
R,Mahrez,LEI,M,0.28,22,5,4.4,450,90.0,8.5,4.9
C,Brunt,WBA,M,0.42,17,4,4.3,341,85.0,5.5,1.8
P,Obiang,WHU,M,0.51,17,4,4.3,284,71.0,4.5,2.6
A,Surman,BOU,M,0.44,16,4,4.0,360,90.0,4.5,1.7
N,Kanté,CHE,M,0.4,20,5,4.0,450,90.0,5.0,20.1
C,Atsu,NEW,M,0.4,20,5,4.0,391,78.0,5.0,4.6
G,Xhaka,ARS,M,0.32,19,5,3.8,438,87.0,5.6,13.1
R,Brady,BUR,M,0.33,19,5,3.8,437,87.0,5.5,2.0
C,Fàbregas,CHE,M,0.26,15,4,3.8,337,84.0,6.9,6.0
X,Shaqiri,STK,M,0.31,19,5,3.8,384,76.0,5.9,3.5
A,Ramsey,ARS,M,0.23,18,5,3.6,314,62.0,7.0,3.5
S,March,BHA,M,0.32,18,5,3.6,436,87.0,5.0,0.3
N,Matic,MUN,M,0.28,17,5,3.4,450,90.0,5.0,15.3
M,Phillips,WBA,M,0.23,17,5,3.4,399,79.0,6.0,2.0
~,~~~~~~~~,~~~~,~,~~~~,~~,~,3.31,~~~,~~~~~,~~~~~,~
E,Can,LIV,M,0.26,13,4,3.3,353,88.0,5.0,7.2
W,Willian,CHE,M,0.17,16,5,3.2,353,70.0,7.0,13.7
E,Kachunga,HUD,M,0.2,16,5,3.2,395,79.0,6.0,0.4
D,Tadic,SOU,M,0.18,16,5,3.2,384,76.0,6.5,3.7
T,Cleverley,WAT,M,0.24,16,5,3.2,423,84.0,5.0,0.4
F,Fernandinho,MCI,M,0.2,15,5,3.0,450,90.0,5.0,3.7
N,Redmond,SOU,M,0.16,15,5,3.0,444,88.0,6.4,4.9
M,Antonio,WHU,M,0.13,12,4,3.0,337,84.0,7.5,0.7
S,Defour,BUR,M,0.15,14,5,2.8,411,82.0,5.5,0.4
S,Clucas,SWA,M,0.14,8,3,2.7,270,90.0,5.0,0.1
J,Cork,BUR,M,0.13,13,5,2.6,450,90.0,4.5,3.7
T,Ince,HUD,M,0.1,13,5,2.6,450,90.0,5.9,1.0
J,Mata,MUN,M,0.09,13,5,2.6,309,61.0,7.0,2.8
J,Allen,STK,M,0.11,13,5,2.6,443,88.0,5.4,2.6
G,Barry,WBA,M,0.11,10,4,2.5,360,90.0,4.5,1.6
J,Livermore,WBA,M,0.1,10,4,2.5,340,85.0,5.0,0.2
N,Chalobah,WAT,M,0.09,12,5,2.4,429,85.0,4.5,3.3
M,Albrighton,LEI,M,0.07,12,5,2.4,345,69.0,5.5,2.4
T,Carroll,SWA,M,0.09,12,5,2.4,445,89.0,4.5,6.2
E,Dier,TOT,M,0.08,12,5,2.4,427,85.0,5.0,3.4
P,Billing,HUD,M,0.07,9,4,2.3,322,80.0,4.5,0.6
J,Henderson,LIV,M,0.05,9,4,2.3,360,90.0,5.5,1.6
G,Wijnaldum,LIV,M,0.04,9,4,2.3,307,76.0,6.9,3.9
D,Stephens,BHA,M,0.04,11,5,2.2,450,90.0,4.5,0.6
O,Oriol Romeu,SOU,M,0.04,11,5,2.2,450,90.0,4.5,3.4
D,Fletcher,STK,M,0.04,11,5,2.2,450,90.0,5.0,0.7
L,Fer,SWA,M,0.04,11,5,2.2,392,78.0,5.5,0.5
D,Pröpper,BHA,M,0.04,11,5,2.2,450,90.0,5.5,0.1
M,Özil,ARS,M,0.0,8,4,2.0,360,90.0,9.4,2.0
W,Ndidi,LEI,M,0.0,10,5,2.0,450,90.0,5.0,0.4
M,Dembélé,TOT,M,0.0,8,4,2.0,288,72.0,5.0,2.9
M,James,LEI,M,0.0,8,4,2.0,338,84.0,4.5,0.4
A,Knockaert,BHA,M,-0.03,9,5,1.8,287,57.0,5.8,1.1
J,Gudmundsson,BUR,M,-0.04,9,5,1.8,357,71.0,5.0,0.1
A,Townsend,CRY,M,-0.03,9,5,1.8,405,81.0,5.8,1.3
I,Gueye,EVE,M,-0.04,9,5,1.8,424,84.0,5.0,1.1
G,Sigurdsson,EVE,M,-0.02,7,4,1.8,299,74.0,8.3,4.1
M,Merino,NEW,M,-0.04,9,5,1.8,374,74.0,5.0,0.1
I,Hayden,NEW,M,-0.04,9,5,1.8,382,76.0,4.5,0.3
A,Chamberlain,LIV,M,-0.07,8,5,1.6,297,59.0,5.9,2.6
H,Arter,BOU,M,-0.08,8,5,1.6,450,90.0,4.9,0.7
M,Schneiderlin,EVE,M,-0.1,6,4,1.5,357,89.0,5.0,0.8
J,Puncheon,CRY,M,-0.16,6,5,1.2,433,86.0,4.9,0.8
