W,I,web_name       ,team,T,VA/M ,VA/ML,p/g,p/gl,form,min,price,%   ,txn    ,gf ,092121
m,R,Richarlison    ,EVE ,M,0.76 ,1.44 ,7.0,11.5,-0.7,210,6.6  ,16.1,151093 ,17 ,      
 ,S,Mané           ,LIV ,M,0.62 ,0.78 ,8.2,9.8 ,5.0 ,430,10.0 ,42.6,59949  ,2  ,      
o,E,Hazard         ,CHE ,M,0.68 ,0.69 ,9.4,9.5 ,13.0,306,10.9 ,32.7,531239 ,29 ,      
 ,R,Ghezzal        ,LEI ,M,0.19 ,1.13 ,3.0,8.0 ,3.7 ,189,5.3  ,0.4 ,-1712  ,-8 ,      
 ,L,Lucas Moura    ,TOT ,M,0.57 ,0.7  ,6.2,7.2 ,7.3 ,427,7.4  ,22.3,131193 ,10 ,      
 ,D,Ward           ,CAR ,M,0.18 ,1.11 ,2.8,7.0 ,3.3 ,218,4.5  ,0.5 ,3853   ,14 ,      
 ,R,Pereyra        ,WAT ,M,0.63 ,0.79 ,6.0,7.0 ,4.0 ,446,6.3  ,16.6,7008   ,1  ,      
 ,M,Salah          ,LIV ,M,0.29 ,0.37 ,5.8,6.8 ,4.0 ,426,13.0 ,43.8,-304538,-12,      
m,P,Pedro          ,CHE ,M,0.53 ,0.69 ,5.6,6.7 ,3.7 ,330,6.8  ,14.0,-213389,-27,      
m,R,Sterling       ,MCI ,M,0.44 ,0.39 ,6.8,6.3 ,6.7 ,333,11.0 ,3.0 ,15280  ,9  ,      
 ,J,Milner         ,LIV ,M,0.56 ,0.7  ,5.2,6.0 ,3.0 ,426,5.7  ,6.8 ,29759  ,8  ,      
o,T,Walcott        ,EVE ,M,0.45 ,0.58 ,5.0,5.8 ,3.3 ,396,6.6  ,9.2 ,-127504,-25,      
o,H,Mkhitaryan     ,ARS ,M,0.23 ,0.46 ,3.6,5.3 ,1.3 ,292,7.1  ,11.9,-297842,-44,      
o,R,Fraser         ,BOU ,M,1.0  ,0.55 ,7.8,5.2 ,7.3 ,450,5.8  ,14.8,504298 ,61 ,      
 ,P,Pogba          ,MUN ,M,0.32 ,0.39 ,4.6,5.2 ,1.7 ,443,8.2  ,16.8,-9288  ,-1 ,      
 ,J,Seri           ,FUL ,M,0.41 ,0.56 ,4.2,5.0 ,5.7 ,406,5.4  ,3.9 ,6888   ,3  ,      
m,A,Schürrle       ,FUL ,M,0.27 ,0.51 ,3.6,5.0 ,5.0 ,326,5.9  ,5.2 ,4909   ,2  ,      
 ,A,Sánchez        ,MUN ,M,0.13 ,0.29 ,3.3,5.0 ,2.7 ,268,10.2 ,2.2 ,-12842 ,-10,      
 ,B,Alli           ,TOT ,M,0.31 ,0.31 ,4.8,4.8 ,1.7 ,349,9.0  ,4.1 ,-60383 ,-26,      
 ,R,Neves          ,WOL ,M,0.42 ,0.54 ,4.2,4.8 ,2.3 ,450,5.2  ,24.1,-73447 ,-5 ,      
m,J,Maddison       ,LEI ,M,0.48 ,0.37 ,5.2,4.5 ,5.0 ,392,6.7  ,7.0 ,135018 ,34 ,      
 ,I,Gündogan       ,MCI ,M,0.18 ,0.42 ,3.0,4.3 ,3.3 ,284,5.5  ,2.8 ,-29082 ,-18,      
 ,J,Gudmundsson    ,BUR ,M,0.08 ,0.34 ,2.5,4.0 ,0.7 ,284,5.9  ,0.8 ,-2440  ,-5 ,      
 ,J,Jorginho       ,CHE ,M,0.31 ,0.38 ,3.6,4.0 ,2.3 ,450,5.2  ,13.4,-71473 ,-9 ,      
 ,D,Gray           ,LEI ,M,0.29 ,0.36 ,3.6,4.0 ,4.3 ,393,5.5  ,2.3 ,-5261  ,-4 ,      
 ,D,David Silva    ,MCI ,M,0.44 ,0.23 ,5.8,4.0 ,4.7 ,332,8.6  ,8.9 ,70159  ,14 ,      
o,B,Bernardo Silva ,MCI ,M,0.16 ,0.27 ,3.2,4.0 ,2.0 ,363,7.5  ,6.6 ,-54041 ,-15,      
 ,P,Højbjerg       ,SOU ,M,0.91 ,0.45 ,6.0,4.0 ,6.0 ,256,4.4  ,2.7 ,66545  ,44 ,      
 ,A,Knockaert      ,BHA ,M,0.33 ,0.33 ,3.8,3.8 ,4.0 ,419,5.5  ,0.6 ,-329   ,-1 ,      
 ,P,Billing        ,HUD ,M,0.31 ,0.4  ,3.4,3.8 ,4.7 ,450,4.5  ,2.8 ,17681  ,11 ,      
 ,W,Hughes         ,WAT ,M,0.28 ,0.36 ,3.4,3.8 ,2.0 ,427,5.0  ,1.6 ,2554   ,3  ,      
 ,V,Camarasa       ,CAR ,M,0.29 ,0.38 ,3.3,3.7 ,3.7 ,327,4.5  ,0.4 ,2840   ,13 ,      
 ,W,Willian        ,CHE ,M,0.32 ,0.23 ,4.4,3.7 ,4.7 ,242,7.4  ,6.1 ,14459  ,4  ,      
 ,N,Kanté          ,CHE ,M,0.24 ,0.3  ,3.2,3.5 ,2.0 ,450,5.0  ,20.4,-71887 ,-6 ,      
 ,R,Sessegnon      ,FUL ,M,0.03 ,0.24 ,2.2,3.5 ,1.3 ,287,6.2  ,4.0 ,-28973 ,-13,      
~,~,~~~~~~~~       ,~~~~,~,~~~~ ,~~~~~,~~~,3.33,~~~~,~~~,~~~~~,~   ,~~~    ,~~ ,~~~~~~
 ,D,Jota           ,WOL ,M,0.1  ,0.21 ,2.6,3.3 ,2.3 ,373,6.2  ,1.9 ,-18761 ,-18,      
 ,J,Hendrick       ,BUR ,M,0.18 ,0.22 ,3.0,3.2 ,3.3 ,369,5.5  ,0.2 ,-551   ,-5 ,      
 ,J,Moutinho       ,WOL ,M,0.22 ,0.22 ,3.2,3.2 ,4.0 ,444,5.4  ,1.5 ,-4862  ,-6 ,      
 ,T,Cairney        ,FUL ,M,0.21 ,0.21 ,3.0,3.0 ,1.7 ,239,4.8  ,1.1 ,-13360 ,-22,      
 ,N,Keita          ,LIV ,M,0.08 ,0.14 ,2.6,3.0 ,2.3 ,343,7.4  ,3.3 ,-19307 ,-10,      
 ,M,Fellaini       ,MUN ,M,0.16 ,0.2  ,2.8,3.0 ,3.0 ,245,5.0  ,0.9 ,14940  ,29 ,      
 ,M,Lemina         ,SOU ,M,0.16 ,0.2  ,2.8,3.0 ,2.3 ,450,5.0  ,0.4 ,-1868  ,-8 ,      
 ,C,Eriksen        ,TOT ,M,0.15 ,0.11 ,3.4,3.0 ,4.3 ,450,9.3  ,8.8 ,-32350 ,-7 ,      
 ,S,March          ,BHA ,M,0.12 ,0.16 ,2.6,2.8 ,2.0 ,394,5.0  ,0.2 ,-640   ,-6 ,      
 ,G,Wijnaldum      ,LIV ,M,0.36 ,0.15 ,4.0,2.8 ,4.7 ,450,5.5  ,0.9 ,11916  ,24 ,      
 ,E,Capoue         ,WAT ,M,0.08 ,0.16 ,2.4,2.8 ,2.7 ,450,5.0  ,0.4 ,-47    ,0  ,      
 ,A,Doucouré       ,WAT ,M,0.31 ,0.14 ,3.8,2.8 ,3.3 ,450,5.9  ,1.7 ,4949   ,5  ,      
 ,G,Sigurdsson     ,EVE ,M,0.16 ,0.09 ,3.2,2.7 ,4.3 ,388,7.4  ,1.3 ,-5721  ,-8 ,      
 ,M,Ritchie        ,NEW ,M,0.08 ,0.12 ,2.5,2.7 ,1.0 ,305,5.9  ,0.6 ,-1569  ,-5 ,      
 ,J,Ralls          ,CAR ,M,0.08 ,0.1  ,2.4,2.5 ,2.3 ,450,4.9  ,0.2 ,-1366  ,-12,      
 ,M,Kovacic        ,CHE ,M,-0.03,0.08 ,1.8,2.5 ,2.0 ,235,5.9  ,0.9 ,-9783  ,-19,      
 ,R,van La Parra   ,HUD ,M,0.06 ,0.1  ,2.3,2.5 ,2.3 ,257,4.9  ,0.0 ,-133   ,0.0,      
 ,N,Matic          ,MUN ,M,-0.14,0.1  ,1.3,2.5 ,1.3 ,240,5.0  ,0.6 ,-5808  ,-17,      
 ,J,Lingard        ,MUN ,M,0.0  ,0.07 ,2.0,2.5 ,2.3 ,280,6.8  ,3.3 ,-4507  ,-2 ,      
 ,N,Redmond        ,SOU ,M,0.07 ,0.09 ,2.4,2.5 ,2.3 ,450,5.4  ,0.4 ,-2083  ,-9 ,      
 ,M,Elyounoussi    ,SOU ,M,0.0  ,0.08 ,2.0,2.5 ,2.3 ,259,6.4  ,0.2 ,-1143  ,-10,      
 ,F,Felipe Anderson,WHU ,M,0.06 ,0.07 ,2.4,2.5 ,3.0 ,421,6.9  ,2.1 ,-8871  ,-8 ,      
 ,G,Xhaka          ,ARS ,M,0.23 ,0.06 ,3.2,2.3 ,5.0 ,384,5.3  ,3.1 ,18795  ,11 ,      
 ,A,Surman         ,BOU ,M,0.06 ,0.06 ,2.3,2.3 ,0.7 ,255,4.9  ,0.2 ,-1767  ,-16,      
