I,web_name,team,T,VA/M,pt,g,p/g,min,min/g,price,%
J,Gámez,NEW,D,1.5,8,1,8.0,90,90.0,4.0,3.0
F,Kiko Femenía,WAT,D,1.11,28,4,7.0,313,78.0,4.5,3.5
B,Davies,TOT,D,1.05,32,4,8.0,349,87.0,5.7,20.0
J,Lascelles,NEW,D,0.93,31,5,6.2,443,88.0,4.5,4.4
K,Walker-Peters,TOT,D,0.93,6,1,6.0,90,90.0,4.3,1.3
S,Okaka,WAT,F,0.91,7,1,7.0,62,62.0,5.5,0.6
M,van der Hoorn,SWA,D,0.89,12,2,6.0,153,76.0,4.5,0.1
S,Prödl,WAT,D,0.89,12,2,6.0,180,90.0,4.5,0.4
M,Yoshida,SOU,D,0.86,25,4,6.3,360,90.0,5.0,2.4
A,Hegazi,WBA,D,0.86,31,5,6.2,416,83.0,4.9,28.1
L,Fabianski,SWA,G,0.84,29,5,5.8,450,90.0,4.5,4.7
L,Karius,LIV,G,0.82,6,1,6.0,90,90.0,4.9,0.2
J,Gomez,LIV,D,0.82,17,3,5.7,181,60.0,4.5,2.2
P,Groß,BHA,M,0.8,32,5,6.4,407,81.0,5.5,6.6
A,Valencia,MUN,D,0.8,36,5,7.2,450,90.0,6.5,9.6
J,Fonte,WHU,D,0.76,17,3,5.7,270,90.0,4.9,1.5
D,Blind,MUN,D,0.73,18,3,6.0,270,90.0,5.5,3.0
F,Forster,SOU,G,0.72,28,5,5.6,450,90.0,5.0,8.2
C,Löwe,HUD,D,0.71,26,5,5.2,422,84.0,4.5,2.4
E,Bailly,MUN,D,0.71,32,5,6.4,450,90.0,6.2,16.9
P,Pogba,MUN,M,0.71,31,4,7.8,360,90.0,8.2,22.3
K,Naughton,SWA,D,0.71,26,5,5.2,447,89.0,4.5,4.9
A,Robertson,LIV,D,0.71,11,2,5.5,180,90.0,4.9,1.8
J,Lössl,HUD,G,0.7,26,5,5.2,450,90.0,4.6,8.9
C,Clark,NEW,D,0.67,25,5,5.0,450,90.0,4.5,3.2
F,Fernández,SWA,D,0.67,25,5,5.0,450,90.0,4.5,2.4
N,Otamendi,MCI,D,0.65,28,5,5.6,430,86.0,5.5,8.8
D,de Gea,MUN,G,0.65,28,5,5.6,450,90.0,5.5,35.1
A,Doucouré,WAT,M,0.65,27,5,5.4,450,90.0,5.2,9.7
H,Mkhitaryan,MUN,M,0.64,37,5,7.4,414,82.0,8.4,29.6
S,Kolasinac,ARS,D,0.63,23,4,5.8,335,83.0,6.0,10.9
P,Jones,MUN,D,0.63,26,5,5.2,450,90.0,5.1,7.2
M,Zanka,HUD,D,0.61,24,5,4.8,450,90.0,4.6,9.7
W,Reid,WHU,D,0.61,15,3,5.0,270,90.0,4.9,0.9
A,Nyom,WBA,D,0.6,25,5,5.0,365,73.0,5.0,3.5
R,Elliot,NEW,G,0.59,22,5,4.4,450,90.0,4.1,22.6
K,Walker,MCI,D,0.58,23,4,5.8,313,78.0,6.5,12.7
C,Schindler,HUD,D,0.57,23,5,4.6,450,90.0,4.6,4.4
B,Mendy,MCI,D,0.57,17,3,5.7,270,90.0,6.5,1.6
C,Wood,BUR,F,0.57,17,3,5.7,209,69.0,6.5,1.9
M,Alonso,CHE,D,0.56,30,5,6.0,450,90.0,7.1,21.2
S,Davis,SOU,M,0.56,24,5,4.8,439,87.0,5.0,1.7
J,Vardy,LEI,F,0.54,33,5,6.6,426,85.0,8.5,11.4
S,Agüero,MCI,F,0.54,41,5,8.2,376,75.0,11.5,14.9
B,Foster,WBA,G,0.53,22,5,4.4,450,90.0,4.5,17.4
M,Salah,LIV,M,0.52,34,5,6.8,339,67.0,9.2,32.6
K,Trippier,TOT,D,0.52,19,4,4.8,360,90.0,5.4,2.9
P,Obiang,WHU,M,0.51,17,4,4.3,284,71.0,4.5,2.3
S,Mustafi,ARS,D,0.5,14,3,4.7,270,90.0,5.4,1.5
S,Ward,BUR,D,0.49,21,5,4.2,450,90.0,4.5,4.6
D,David Silva,MCI,M,0.49,30,5,6.0,437,87.0,8.2,13.9
H,Gomes,WAT,G,0.49,21,5,4.2,450,90.0,4.5,2.5
C,Dawson,WBA,D,0.48,22,5,4.4,450,90.0,5.0,5.4
H,Maguire,LEI,D,0.47,22,5,4.4,450,90.0,5.1,6.9
M,Ritchie,NEW,M,0.47,24,5,4.8,447,89.0,5.9,3.3
C,Eriksen,TOT,M,0.47,33,5,6.6,427,85.0,9.7,27.6
C,Azpilicueta,CHE,D,0.46,25,5,5.0,450,90.0,6.5,9.9
A,Mooy,HUD,M,0.46,23,5,4.6,450,90.0,5.7,12.5
R,Firmino,LIV,F,0.46,30,5,6.0,392,78.0,8.7,30.8
R,Lukaku,MUN,F,0.46,37,5,7.4,450,90.0,11.7,55.5
E,Choupo-Moting,STK,M,0.46,23,5,4.6,378,75.0,5.6,5.0
D,Welbeck,ARS,F,0.45,27,5,5.4,400,80.0,7.5,2.8
D,Danilo,MCI,D,0.45,18,4,4.5,272,68.0,5.5,4.9
P,Cech,ARS,G,0.44,22,5,4.4,450,90.0,5.5,5.3
A,Surman,BOU,M,0.44,16,4,4.0,360,90.0,4.5,1.2
K,Schmeichel,LEI,G,0.44,21,5,4.2,450,90.0,5.0,4.4
R,Bertrand,SOU,D,0.44,22,5,4.4,445,89.0,5.5,13.9
H,Lloris,TOT,G,0.44,22,5,4.4,450,90.0,5.5,13.2
J,Manquillo,NEW,D,0.44,16,4,4.0,360,90.0,4.5,1.1
R,Richarlison,WAT,M,0.43,23,5,4.6,390,78.0,6.0,4.6
C,Brunt,WBA,M,0.42,17,4,4.3,341,85.0,5.5,2.0
S,Arfield,BUR,M,0.41,12,3,4.0,195,65.0,4.9,0.1
Á,Morata,CHE,F,0.41,31,5,6.2,364,72.0,10.2,18.2
T,Courtois,CHE,G,0.4,21,5,4.2,450,90.0,5.5,14.2
N,Kanté,CHE,M,0.4,20,5,4.0,450,90.0,5.0,19.1
J,Stones,MCI,D,0.4,21,5,4.2,335,67.0,5.5,5.8
C,Atsu,NEW,M,0.4,20,5,4.0,391,78.0,5.0,3.7
C,Cédric,SOU,D,0.4,20,5,4.0,450,90.0,5.0,10.9
J,Butland,STK,G,0.4,20,5,4.0,450,90.0,5.0,4.1
A,Mawson,SWA,D,0.4,20,5,4.0,450,90.0,5.0,1.1
M,Olsson,SWA,D,0.4,20,5,4.0,450,90.0,5.0,0.3
W,Hoedt,SOU,D,0.4,8,2,4.0,180,90.0,5.0,0.0
L,Koscielny,ARS,D,0.38,13,3,4.3,270,90.0,6.0,0.9
