W,I,web_name        ,team,T,VA/M ,VA/ML,p/g,p/gl,form,min,price,%   ,txn    ,gf ,092821
m,J,Maddison        ,LEI ,M,0.54 ,0.54 ,5.7,5.7 ,7.0 ,476,6.8  ,11.9,226808 ,34 ,      
o,R,Richarlison     ,EVE ,M,0.57 ,0.94 ,5.8,8.3 ,0.7 ,300,6.7  ,20.6,216610 ,19 ,      
m,A,Mitrovic        ,FUL ,F,0.64 ,0.64 ,6.5,6.5 ,5.0 ,540,7.0  ,27.8,188852 ,12 ,      
o,A,Wan-Bissaka     ,CRY ,D,0.84 ,0.84 ,5.6,5.6 ,6.0 ,434,4.3  ,29.5,178753 ,11 ,      
o,R,Fraser          ,BOU ,M,0.81 ,0.81 ,6.8,6.8 ,7.3 ,540,5.9  ,19.6,175576 ,16 ,      
 ,T,Alexander-Arnold,LIV ,D,0.73 ,0.73 ,5.7,5.7 ,6.3 ,535,5.1  ,19.8,155838 ,14 ,      
o,B,Bernardo Silva  ,MCI ,M,0.39 ,0.5  ,5.0,5.8 ,6.0 ,453,7.6  ,9.3 ,148951 ,28 ,      
m,K,Trippier        ,TOT ,D,0.59 ,0.59 ,5.6,5.6 ,2.0 ,435,6.1  ,28.9,143539 ,9  ,      
o,E,Hazard          ,CHE ,M,0.57 ,0.77 ,8.3,10.5,11.3,396,11.0 ,36.2,130123 ,6  ,      
 ,K,Walker          ,MCI ,D,0.64 ,0.64 ,6.2,6.2 ,7.3 ,450,6.6  ,14.8,118848 ,14 ,      
m,A,Laporte         ,MCI ,D,0.53 ,0.53 ,5.0,5.0 ,4.7 ,540,5.7  ,7.0 ,118519 ,30 ,      
o,S,Agüero          ,MCI ,F,0.46 ,0.46 ,7.2,7.2 ,6.3 ,446,11.4 ,52.7,89122  ,3  ,      
 ,I,Gündogan        ,MCI ,M,0.48 ,0.8  ,4.7,6.5 ,5.0 ,352,5.6  ,4.4 ,88913  ,36 ,      
m,A,Lacazette       ,ARS ,F,0.34 ,0.66 ,5.2,8.3 ,8.3 ,366,9.5  ,6.1 ,82694  ,24 ,      
o,J,Hart            ,BUR ,G,0.78 ,0.78 ,5.5,5.5 ,7.3 ,540,4.5  ,8.7 ,66168  ,13 ,      
o,A,Robertson       ,LIV ,D,0.76 ,0.76 ,6.8,6.8 ,4.7 ,540,6.3  ,27.1,65300  ,4  ,      
o,M,Doherty         ,WOL ,D,0.38 ,0.38 ,3.7,3.7 ,6.7 ,518,4.5  ,3.1 ,59844  ,34 ,      
