I,web_name,team,T,VA/M,pt,g,p/g,min,min/g,price,%
J,Gámez,NEW,D,1.5,8,1,8.0,90,90.0,4.0,3.0
F,Kiko Femenía,WAT,D,1.11,28,4,7.0,313,78.0,4.5,3.5
B,Davies,TOT,D,1.05,32,4,8.0,349,87.0,5.7,20.0
J,Lascelles,NEW,D,0.93,31,5,6.2,443,88.0,4.5,4.4
K,Walker-Peters,TOT,D,0.93,6,1,6.0,90,90.0,4.3,1.3
M,van der Hoorn,SWA,D,0.89,12,2,6.0,153,76.0,4.5,0.1
S,Prödl,WAT,D,0.89,12,2,6.0,180,90.0,4.5,0.4
M,Yoshida,SOU,D,0.86,25,4,6.3,360,90.0,5.0,2.4
A,Hegazi,WBA,D,0.86,31,5,6.2,416,83.0,4.9,28.1
J,Gomez,LIV,D,0.82,17,3,5.7,181,60.0,4.5,2.2
A,Valencia,MUN,D,0.8,36,5,7.2,450,90.0,6.5,9.6
J,Fonte,WHU,D,0.76,17,3,5.7,270,90.0,4.9,1.5
D,Blind,MUN,D,0.73,18,3,6.0,270,90.0,5.5,3.0
C,Löwe,HUD,D,0.71,26,5,5.2,422,84.0,4.5,2.4
E,Bailly,MUN,D,0.71,32,5,6.4,450,90.0,6.2,16.9
K,Naughton,SWA,D,0.71,26,5,5.2,447,89.0,4.5,4.9
A,Robertson,LIV,D,0.71,11,2,5.5,180,90.0,4.9,1.8
C,Clark,NEW,D,0.67,25,5,5.0,450,90.0,4.5,3.2
F,Fernández,SWA,D,0.67,25,5,5.0,450,90.0,4.5,2.4
N,Otamendi,MCI,D,0.65,28,5,5.6,430,86.0,5.5,8.8
S,Kolasinac,ARS,D,0.63,23,4,5.8,335,83.0,6.0,10.9
P,Jones,MUN,D,0.63,26,5,5.2,450,90.0,5.1,7.2
M,Zanka,HUD,D,0.61,24,5,4.8,450,90.0,4.6,9.7
W,Reid,WHU,D,0.61,15,3,5.0,270,90.0,4.9,0.9
A,Nyom,WBA,D,0.6,25,5,5.0,365,73.0,5.0,3.5
K,Walker,MCI,D,0.58,23,4,5.8,313,78.0,6.5,12.7
C,Schindler,HUD,D,0.57,23,5,4.6,450,90.0,4.6,4.4
B,Mendy,MCI,D,0.57,17,3,5.7,270,90.0,6.5,1.6
M,Alonso,CHE,D,0.56,30,5,6.0,450,90.0,7.1,21.2
K,Trippier,TOT,D,0.52,19,4,4.8,360,90.0,5.4,2.9
S,Mustafi,ARS,D,0.5,14,3,4.7,270,90.0,5.4,1.5
S,Ward,BUR,D,0.49,21,5,4.2,450,90.0,4.5,4.6
C,Dawson,WBA,D,0.48,22,5,4.4,450,90.0,5.0,5.4
H,Maguire,LEI,D,0.47,22,5,4.4,450,90.0,5.1,6.9
C,Azpilicueta,CHE,D,0.46,25,5,5.0,450,90.0,6.5,9.9
D,Danilo,MCI,D,0.45,18,4,4.5,272,68.0,5.5,4.9
R,Bertrand,SOU,D,0.44,22,5,4.4,445,89.0,5.5,13.9
J,Manquillo,NEW,D,0.44,16,4,4.0,360,90.0,4.5,1.1
J,Stones,MCI,D,0.4,21,5,4.2,335,67.0,5.5,5.8
C,Cédric,SOU,D,0.4,20,5,4.0,450,90.0,5.0,10.9
A,Mawson,SWA,D,0.4,20,5,4.0,450,90.0,5.0,1.1
M,Olsson,SWA,D,0.4,20,5,4.0,450,90.0,5.0,0.3
W,Hoedt,SOU,D,0.4,8,2,4.0,180,90.0,5.0,0.0
L,Koscielny,ARS,D,0.38,13,3,4.3,270,90.0,6.0,0.9
D,Sánchez,TOT,D,0.38,13,3,4.3,181,60.0,6.0,0.2
D,David Luiz,CHE,D,0.37,21,5,4.2,446,89.0,6.0,24.0
J,Vertonghen,TOT,D,0.37,21,5,4.2,450,90.0,6.0,8.0
J,Stephens,SOU,D,0.36,15,4,3.8,360,90.0,5.0,0.7
Y,Kaboul,WAT,D,0.34,7,2,3.5,151,75.0,4.4,0.3
N,Monreal,ARS,D,0.33,19,5,3.8,450,90.0,5.4,3.3
T,Alderweireld,TOT,D,0.33,20,5,4.0,450,90.0,6.0,13.7
C,Mbemba,NEW,D,0.32,13,4,3.3,326,81.0,4.0,8.5
J,Evans,WBA,D,0.31,7,2,3.5,180,90.0,4.9,0.7
K,Gibbs,WBA,D,0.3,7,2,3.5,117,58.0,5.0,0.3
J,Holebas,WAT,D,0.3,14,4,3.5,360,90.0,5.0,0.7
~,~~~~~~~~,~~~~,~,0.3,~~,~,~~~,~~~,~~~~~,~~~~~,~
M,Britos,WAT,D,0.29,10,3,3.3,203,67.0,4.5,1.5
V,Moses,CHE,D,0.28,15,4,3.8,341,85.0,6.5,0.9
T,Smith,HUD,D,0.28,17,5,3.4,416,83.0,5.0,0.5
A,Cresswell,WHU,D,0.28,17,5,3.4,369,73.0,5.0,0.6
M,Lowton,BUR,D,0.27,16,5,3.2,450,90.0,4.5,1.1
R,Shawcross,STK,D,0.26,10,3,3.3,270,90.0,5.0,1.3
R,Klavan,LIV,D,0.23,9,3,3.0,270,90.0,4.4,0.4
A,Rüdiger,CHE,D,0.22,13,4,3.3,360,90.0,5.9,2.2
C,Kabasele,WAT,D,0.22,12,4,3.0,278,69.0,4.5,0.1
S,Duffy,BHA,D,0.18,14,5,2.8,450,90.0,4.5,0.6
J,Matip,LIV,D,0.18,15,5,3.0,450,90.0,5.5,3.1
G,Cameron,STK,D,0.18,11,4,2.8,293,73.0,4.5,0.5
A,Moreno,LIV,D,0.16,8,3,2.7,270,90.0,4.5,2.1
J,Collins,WHU,D,0.16,8,3,2.7,237,79.0,4.4,0.3
H,Bellerín,ARS,D,0.14,14,5,2.8,450,90.0,5.9,10.1
J,Tarkowski,BUR,D,0.13,13,5,2.6,450,90.0,4.5,0.1
C,Daniels,BOU,D,0.12,13,5,2.6,450,90.0,4.9,12.3
V,Kompany,MCI,D,0.12,8,3,2.7,270,90.0,5.9,3.7
K,Zouma,STK,D,0.11,13,5,2.6,450,90.0,5.5,3.0
P,Jagielka,EVE,D,0.1,10,4,2.5,352,88.0,5.0,6.4
B,Mee,BUR,D,0.09,12,5,2.4,450,90.0,4.5,7.6
M,Suttner,BHA,D,0.09,12,5,2.4,450,90.0,4.5,0.6
B,Bruno,BHA,D,0.07,9,4,2.3,286,71.0,4.5,0.2
M,Keane,EVE,D,0.07,12,5,2.4,450,90.0,5.5,11.8
D,Lovren,LIV,D,0.06,7,3,2.3,181,60.0,5.4,1.4
E,Pieters,STK,D,0.04,11,5,2.2,448,89.0,5.0,0.8
P,Zabaleta,WHU,D,0.04,11,5,2.2,450,90.0,4.9,2.4
