W,I,web_name        ,team,T,VA/M ,VA/ML,p/g,p/gl,form,min,price,%   ,txn    ,gf ,092821
 ,J,Matip           ,LIV ,D,0.51 ,2.65 ,4.5,15.0,5.7 ,93 ,4.9  ,0.2 ,6848   ,60 ,      
o,M,Alonso          ,CHE ,D,0.97 ,0.97 ,8.7,8.7 ,5.7 ,540,6.9  ,45.0,38869  ,2  ,      
 ,B,Mendy           ,MCI ,D,0.95 ,0.95 ,8.0,8.0 ,1.7 ,360,6.3  ,18.1,-534532,-52,      
 ,F,Delph           ,MCI ,D,0.94 ,0.94 ,7.0,7.0 ,4.7 ,156,5.3  ,0.6 ,10901  ,32 ,      
o,A,Wan-Bissaka     ,CRY ,D,0.84 ,0.84 ,5.6,5.6 ,6.0 ,434,4.3  ,29.5,178753 ,11 ,      
 ,J,Holebas         ,WAT ,D,0.78 ,0.78 ,5.8,5.8 ,3.7 ,533,4.9  ,20.4,48107  ,4  ,      
o,A,Robertson       ,LIV ,D,0.76 ,0.76 ,6.8,6.8 ,4.7 ,540,6.3  ,27.1,65300  ,4  ,      
 ,T,Alexander-Arnold,LIV ,D,0.73 ,0.73 ,5.7,5.7 ,6.3 ,535,5.1  ,19.8,155838 ,14 ,      
 ,N,Otamendi        ,MCI ,D,0.66 ,0.66 ,6.0,6.0 ,4.0 ,180,6.1  ,3.3 ,6284   ,3  ,      
 ,K,Walker          ,MCI ,D,0.64 ,0.64 ,6.2,6.2 ,7.3 ,450,6.6  ,14.8,118848 ,14 ,      
m,K,Trippier        ,TOT ,D,0.59 ,0.59 ,5.6,5.6 ,2.0 ,435,6.1  ,28.9,143539 ,9  ,      
 ,J,Tomkins         ,CRY ,D,0.57 ,0.57 ,4.5,4.5 ,3.7 ,360,4.4  ,4.1 ,-3498  ,-2 ,      
m,S,Duffy           ,BHA ,D,0.56 ,0.56 ,4.5,4.5 ,5.7 ,540,4.5  ,3.3 ,15631  ,8  ,      
 ,J,Gomez           ,LIV ,D,0.43 ,0.55 ,4.2,4.8 ,1.7 ,485,5.1  ,3.1 ,-13761 ,-8 ,      
 ,J,Tarkowski       ,BUR ,D,0.54 ,0.54 ,4.7,4.7 ,3.0 ,540,5.0  ,9.5 ,29377  ,5  ,      
 ,W,Boly            ,WOL ,D,0.54 ,0.54 ,4.5,4.5 ,5.7 ,540,4.6  ,4.7 ,43354  ,16 ,      
 ,S,Bamba           ,CAR ,D,0.53 ,0.53 ,4.4,4.4 ,2.3 ,450,4.5  ,1.3 ,-1356  ,-2 ,      
m,A,Laporte         ,MCI ,D,0.53 ,0.53 ,5.0,5.0 ,4.7 ,540,5.7  ,7.0 ,118519 ,30 ,      
 ,C,Smalling        ,MUN ,D,0.52 ,0.52 ,5.0,5.0 ,6.3 ,360,5.8  ,2.3 ,1884   ,1  ,      
 ,M,Keane           ,EVE ,D,0.51 ,0.51 ,4.5,4.5 ,0.3 ,360,4.9  ,1.2 ,736    ,1  ,      
 ,R,Pereira         ,LEI ,D,0.47 ,0.47 ,4.4,4.4 ,1.3 ,450,5.1  ,4.9 ,-24871 ,-9 ,      
 ,L,Shaw            ,MUN ,D,0.47 ,0.47 ,4.4,4.4 ,2.0 ,450,5.1  ,10.4,5806   ,1  ,      
 ,M,Sakho           ,CRY ,D,0.46 ,0.46 ,4.3,4.3 ,5.0 ,540,5.0  ,1.8 ,4116   ,4  ,      
 ,J,Schlupp         ,CRY ,D,0.31 ,0.44 ,3.4,4.0 ,1.0 ,322,4.5  ,3.5 ,-26905 ,-14,      
 ,C,Cathcart        ,WAT ,D,0.44 ,0.44 ,4.0,4.0 ,4.7 ,537,4.5  ,1.1 ,1577   ,3  ,      
 ,J,Lascelles       ,NEW ,D,0.29 ,0.41 ,3.4,4.0 ,2.7 ,405,4.9  ,4.7 ,-4613  ,-2 ,      
 ,J,Bennett         ,CAR ,D,0.4  ,0.4  ,3.8,3.8 ,1.3 ,450,4.5  ,0.8 ,-3034  ,-7 ,      
 ,P,van Aanholt     ,CRY ,D,0.4  ,0.4  ,4.2,4.2 ,4.3 ,540,5.5  ,4.7 ,-1150  ,0  ,      
 ,S,Steve Cook      ,BOU ,D,0.39 ,0.39 ,3.8,3.8 ,0.7 ,540,4.6  ,9.2 ,-28320 ,-5 ,      
 ,D,Rose            ,TOT ,D,0.25 ,0.39 ,3.5,4.3 ,3.0 ,262,5.9  ,1.1 ,6648   ,11 ,      
 ,A,Rüdiger         ,CHE ,D,0.38 ,0.38 ,4.3,4.3 ,4.7 ,518,6.0  ,2.5 ,-13294 ,-9 ,      
o,M,Doherty         ,WOL ,D,0.38 ,0.38 ,3.7,3.7 ,6.7 ,518,4.5  ,3.1 ,59844  ,34 ,      
 ,J,Stones          ,MCI ,D,0.24 ,0.37 ,3.3,4.0 ,1.0 ,286,5.4  ,6.9 ,-35643 ,-9 ,      
 ,C,Azpilicueta     ,CHE ,D,0.36 ,0.36 ,4.3,4.3 ,4.7 ,540,6.4  ,11.1,-15160 ,-2 ,      
 ,D,David Luiz      ,CHE ,D,0.36 ,0.36 ,4.0,4.0 ,5.3 ,540,5.5  ,4.0 ,-621   ,0  ,      
 ,R,Bertrand        ,SOU ,D,0.34 ,0.34 ,3.7,3.7 ,2.7 ,540,5.0  ,5.4 ,-11641 ,-4 ,      
 ,J,Jonny           ,WOL ,D,0.34 ,0.34 ,3.5,3.5 ,5.7 ,519,4.4  ,0.8 ,5420   ,12 ,      
 ,N,Monreal         ,ARS ,D,0.33 ,0.33 ,3.8,3.8 ,2.7 ,450,5.5  ,2.2 ,11493  ,9  ,      
 ,V,van Dijk        ,LIV ,D,0.33 ,0.33 ,4.0,4.0 ,1.3 ,504,6.0  ,15.2,-108596,-13,      
 ,B,Mee             ,BUR ,D,0.31 ,0.31 ,3.5,3.5 ,3.0 ,540,4.9  ,3.2 ,965    ,1  ,      
 ,J,Vertonghen      ,TOT ,D,0.3  ,0.3  ,3.8,3.8 ,1.3 ,540,6.0  ,9.5 ,-3109  ,-1 ,      
~,~,~~~~~~~~        ,~~~~,~,~~~~ ,0.28 ,~~~,~~~~,~~~~,~~~,~~~~~,~   ,~~~    ,~~ ,~~~~~~
 ,S,Morrison        ,CAR ,D,0.27 ,0.27 ,3.3,3.3 ,2.3 ,540,4.9  ,0.5 ,-181   ,-1 ,      
 ,M,Zanka           ,HUD ,D,0.27 ,0.27 ,3.2,3.2 ,3.0 ,437,4.5  ,4.4 ,-4640  ,-2 ,      
 ,D,Yedlin          ,NEW ,D,0.27 ,0.27 ,3.2,3.2 ,4.3 ,450,4.5  ,1.1 ,2653   ,4  ,      
 ,C,Coady           ,WOL ,D,0.27 ,0.27 ,3.2,3.2 ,5.3 ,540,4.5  ,0.5 ,939    ,3  ,      
 ,N,Aké             ,BOU ,D,0.26 ,0.26 ,3.3,3.3 ,0.7 ,540,5.0  ,4.5 ,-9903  ,-4 ,      
 ,D,Janmaat         ,WAT ,D,0.26 ,0.26 ,3.3,3.3 ,1.7 ,521,5.0  ,0.6 ,-3514  ,-10,      
 ,F,Fernández       ,NEW ,D,0.23 ,0.23 ,3.0,3.0 ,4.0 ,360,4.4  ,0.2 ,834    ,7  ,      
 ,S,Mustafi         ,ARS ,D,0.22 ,0.22 ,3.2,3.2 ,5.3 ,540,5.4  ,1.4 ,4257   ,5  ,      
 ,M,Lowton          ,BUR ,D,0.21 ,0.21 ,3.0,3.0 ,1.7 ,360,4.8  ,0.5 ,116    ,0  ,      
 ,R,Bennett         ,WOL ,D,0.2  ,0.2  ,2.8,2.8 ,4.3 ,540,4.1  ,10.9,28108  ,5  ,      
