W,I,web_name     ,team,T,VA/M ,VA/ML,p/g,p/gl,form,min,price,%   ,txn   ,gf ,092821
m,A,Lacazette    ,ARS ,F,0.34 ,0.66 ,5.2,8.3 ,8.3 ,366,9.5  ,6.1 ,82694 ,24 ,      
o,S,Agüero       ,MCI ,F,0.46 ,0.46 ,7.2,7.2 ,6.3 ,446,11.4 ,52.7,89122 ,3  ,      
m,A,Mitrovic     ,FUL ,F,0.64 ,0.64 ,6.5,6.5 ,5.0 ,540,7.0  ,27.8,188852,12 ,      
 ,K,Iheanacho    ,LEI ,F,0.37 ,0.73 ,4.2,6.3 ,5.7 ,298,5.9  ,1.4 ,22797 ,29 ,      
 ,O,Giroud       ,CHE ,F,0.21 ,0.51 ,3.6,6.0 ,5.3 ,223,7.8  ,2.7 ,-5957 ,-4 ,      
 ,R,Lukaku       ,MUN ,F,0.29 ,0.36 ,5.2,6.0 ,6.7 ,473,11.1 ,10.2,-62615,-11,      
 ,D,Ings         ,SOU ,F,0.53 ,0.7  ,5.0,6.0 ,5.0 ,352,5.7  ,6.8 ,-190  ,0  ,      
 ,M,Arnautovic   ,WHU ,F,0.55 ,0.55 ,5.8,5.8 ,4.7 ,367,6.9  ,13.3,-76187,-10,      
 ,H,Kane         ,TOT ,F,0.26 ,0.26 ,5.2,5.2 ,4.3 ,536,12.4 ,25.8,34907 ,2  ,      
o,C,Wilson       ,BOU ,F,0.48 ,0.48 ,5.0,5.0 ,2.7 ,517,6.3  ,18.4,-37633,-4 ,      
 ,L,Vietto       ,FUL ,F,0.4  ,0.55 ,4.2,5.0 ,3.7 ,340,5.5  ,0.8 ,2744  ,6  ,      
 ,R,Firmino      ,LIV ,F,0.32 ,0.32 ,5.0,5.0 ,6.0 ,501,9.4  ,24.6,-57885,-4 ,      
m,G,Murray       ,BHA ,F,0.43 ,0.43 ,4.8,4.8 ,6.7 ,540,6.5  ,2.2 ,-2623 ,-2 ,      
 ,J,King         ,BOU ,F,0.4  ,0.4  ,4.5,4.5 ,5.0 ,522,6.3  ,4.8 ,-5804 ,-2 ,      
 ,T,Deeney       ,WAT ,F,0.41 ,0.41 ,4.5,4.5 ,3.7 ,538,6.1  ,6.0 ,-23396,-7 ,      
 ,P,Aubameyang   ,ARS ,F,0.21 ,0.21 ,4.3,4.3 ,6.7 ,478,10.8 ,11.1,-15034,-2 ,      
 ,A,Gray         ,WAT ,F,0.38 ,0.38 ,4.3,4.3 ,5.3 ,450,6.0  ,1.2 ,13719 ,20 ,      
~,~,~~~~~~~~     ,~~~~,~,~~~~ ,~~~~~,~~~,4.25,~~~~,~~~,~~~~~,~   ,~~~   ,~~ ,~~~~~~
m,W,Zaha         ,CRY ,F,0.31 ,0.31 ,4.2,4.2 ,3.0 ,450,7.0  ,24.6,-42755,-3 ,      
m,R,Jiménez      ,WOL ,F,0.39 ,0.39 ,4.2,4.2 ,5.0 ,521,5.6  ,5.9 ,39946 ,12 ,      
m,J,Vardy        ,LEI ,F,0.28 ,0.22 ,4.5,4.0 ,4.3 ,265,8.9  ,4.2 ,25051 ,11 ,      
 ,D,Calvert-Lewin,EVE ,F,0.07 ,0.24 ,2.4,3.3 ,3.3 ,272,5.4  ,0.9 ,-1009 ,-2 ,      
 ,Á,Morata       ,CHE ,F,0.07 ,0.11 ,2.6,3.0 ,1.0 ,313,8.8  ,2.2 ,-23998,-19,      
 ,J,Ayew         ,CRY ,F,0.17 ,0.17 ,3.0,3.0 ,3.0 ,235,5.9  ,0.3 ,-823  ,-5 ,      
o,C,Tosun        ,EVE ,F,0.1  ,0.15 ,2.7,3.0 ,1.7 ,413,6.8  ,3.0 ,-26044,-15,      
 ,J,Joselu       ,NEW ,F,0.2  ,0.2  ,3.0,3.0 ,1.3 ,328,5.0  ,5.1 ,-16154,-6 ,      
 ,S,Mounie       ,HUD ,F,0.1  ,0.1  ,2.6,2.6 ,1.3 ,432,5.9  ,0.2 ,-1815 ,-16,      
 ,C,Wood         ,BUR ,F,-0.05,0.0  ,1.7,2.0 ,1.3 ,334,6.3  ,0.3 ,-1614 ,-9 ,      
 ,B,Reid         ,CAR ,F,-0.06,0.0  ,1.7,2.0 ,2.0 ,366,5.3  ,0.3 ,-748  ,-4 ,      
 ,C,Benteke      ,CRY ,F,0.0  ,0.0  ,2.0,2.0 ,0.7 ,325,6.4  ,0.6 ,-4123 ,-12,      
 ,A,Pérez        ,NEW ,F,-0.03,0.0  ,1.8,2.0 ,2.0 ,421,6.2  ,1.3 ,-4823 ,-7 ,      
 ,S,Long         ,SOU ,F,-0.04,0.0  ,1.8,2.0 ,2.0 ,331,4.8  ,1.3 ,1219  ,2  ,      
 ,A,Barnes       ,BUR ,F,0.14 ,-0.18,2.8,1.0 ,4.7 ,149,5.7  ,0.6 ,8779  ,26 ,      
