W,I,web_name,team,T,VA/M,VA/ML,p/g,p/gl,form,min,price,%,txn,gf,100320
,J,Matip,LIV,D,0.51,2.65,4.5,15.0,5.3,93,4.9,0.3,-841,-5,
,F,Delph,MCI,D,0.94,0.94,7.0,7.0,4.7,156,5.3,0.5,-6129,-21,
o,M,Alonso,CHE,D,0.83,0.83,7.7,7.7,3.3,630,6.9,45.7,20532,1,
m,K,Trippier,TOT,D,0.73,0.73,6.5,6.5,5.3,525,6.2,31.9,137467,8,
,R,Holding,ARS,D,0.68,0.68,5.0,5.0,3.3,141,4.4,0.5,2008,7,
,N,Otamendi,MCI,D,0.66,0.66,6.0,6.0,6.0,270,6.1,3.3,199,0,
o,A,Wan-Bissaka,CRY,D,0.65,0.65,4.8,4.8,6.3,524,4.3,30.2,24138,1,
,M,Keane,EVE,D,0.65,0.65,5.2,5.2,3.0,450,4.9,1.3,2392,3,
o,A,Robertson,LIV,D,0.65,0.65,6.1,6.1,3.7,630,6.3,27.1,-982,0,
,K,Walker,MCI,D,0.65,0.65,6.3,6.3,6.3,540,6.6,15.2,8863,1,
o,M,Doherty,WOL,D,0.64,0.64,4.9,4.9,8.7,608,4.5,5.1,93443,32,
,J,Holebas,WAT,D,0.63,0.63,5.1,5.1,0.7,623,4.9,20.5,752,0,
,T,Alexander-Arnold,LIV,D,0.61,0.61,5.1,5.1,6.3,625,5.1,20.7,35335,3,
,J,Jonny,WOL,D,0.61,0.61,4.7,4.7,6.7,609,4.4,1.5,31356,37,
,W,Boly,WOL,D,0.59,0.59,4.7,4.7,5.0,630,4.6,4.9,6990,2,
m,H,Maguire,LEI,D,0.56,0.56,5.1,5.1,6.3,630,5.5,15.2,57630,7,
,P,van Aanholt,CRY,D,0.55,0.55,5.0,5.0,7.3,630,5.5,4.7,3993,1,
,J,Tarkowski,BUR,D,0.42,0.54,4.1,4.7,3.0,566,5.0,8.9,-31184,-6,
m,A,Laporte,MCI,D,0.54,0.54,5.1,5.1,6.0,630,5.7,7.5,13255,3,
,D,Rose,TOT,D,0.41,0.54,4.4,5.2,5.3,352,5.9,1.2,5775,8,
,R,Pereira,LEI,D,0.53,0.53,4.7,4.7,3.0,540,5.1,4.8,-1495,-1,
,P,Zabaleta,WHU,D,0.47,0.47,4.0,4.0,5.3,360,4.3,2.2,12437,10,
,J,Gomez,LIV,D,0.37,0.45,3.9,4.3,1.7,575,5.1,3.0,-3742,-2,
,L,Shaw,MUN,D,0.45,0.45,4.3,4.3,1.7,540,5.1,10.4,-4396,-1,
m,S,Duffy,BHA,D,0.42,0.42,3.9,3.9,5.3,630,4.5,3.4,3434,2,
,N,Monreal,ARS,D,0.4,0.4,4.2,4.2,4.7,540,5.5,2.3,4102,3,
,S,Bamba,CAR,D,0.4,0.4,3.8,3.8,2.3,540,4.5,1.2,-2517,-4,
,J,Bennett,CAR,D,0.4,0.4,3.8,3.8,0.0,450,4.5,0.8,-2187,-5,
,J,Kenny,EVE,D,0.4,0.4,3.7,3.7,3.7,270,4.3,0.2,1026,9,
,C,Smalling,MUN,D,0.38,0.38,4.2,4.2,4.3,450,5.8,2.2,-6386,-5,
,J,Tomkins,CRY,D,0.36,0.36,3.6,3.6,3.7,450,4.4,4.0,-4573,-2,
,C,Coady,WOL,D,0.36,0.36,3.6,3.6,4.7,630,4.5,0.5,620,2,
,S,Steve Cook,BOU,D,0.35,0.35,3.6,3.6,1.0,630,4.6,8.9,-16291,-3,
,D,David Luiz,CHE,D,0.35,0.35,3.9,3.9,3.7,630,5.5,4.2,7217,3,
,A,Rüdiger,CHE,D,0.34,0.34,4.0,4.0,3.3,608,5.9,2.5,1344,1,
,M,Sakho,CRY,D,0.34,0.34,3.7,3.7,4.7,630,5.0,1.7,-1885,-2,
~,~,~~~~~~~~,~~~~,~,~~~~,0.33,~~~,~~~~,~~~~,~~~,~~~~~,~,~~~,~~,~~~~~~
,R,Bennett,WOL,D,0.32,0.32,3.3,3.3,4.7,630,4.1,11.3,18677,3,
,C,Azpilicueta,CHE,D,0.31,0.31,4.0,4.0,3.3,630,6.4,10.9,-10345,-2,
,J,Vertonghen,TOT,D,0.23,0.3,3.4,3.8,1.3,585,6.0,8.5,-55039,-11,
,V,van Dijk,LIV,D,0.29,0.29,3.7,3.7,1.7,594,5.9,14.8,-10694,-1,
,J,Lascelles,NEW,D,0.21,0.29,3.0,3.4,2.7,495,4.8,4.5,-6660,-3,
,C,Cathcart,WAT,D,0.29,0.29,3.3,3.3,0.7,627,4.5,1.1,-1584,-3,
,B,Mee,BUR,D,0.27,0.27,3.3,3.3,3.3,630,4.9,3.2,-1325,-1,
,S,Mustafi,ARS,D,0.26,0.26,3.4,3.4,4.3,630,5.4,1.4,2246,3,
,D,Janmaat,WAT,D,0.26,0.26,3.3,3.3,1.0,521,5.0,0.5,-4099,-14,
,H,Bellerín,ARS,D,0.24,0.24,3.3,3.3,5.3,630,5.4,10.3,3870,1,
,F,Fernández,NEW,D,0.23,0.23,3.0,3.0,3.7,360,4.4,0.2,-731,-6,
,D,Rice,WHU,D,0.07,0.23,2.3,3.0,3.0,315,4.4,0.3,1094,6,
,N,Aké,BOU,D,0.22,0.22,3.1,3.1,1.0,630,5.0,4.3,-5353,-2,
,R,Bertrand,SOU,D,0.22,0.22,3.1,3.1,0.7,630,5.0,5.1,-12651,-4,
,S,Morrison,CAR,D,0.2,0.2,3.0,3.0,1.3,630,4.9,0.5,-979,-3,
,K,Zouma,EVE,D,0.12,0.2,2.6,3.0,3.3,361,5.0,0.2,894,8,
,B,Chilwell,LEI,D,0.18,0.18,2.9,2.9,2.7,630,5.0,0.9,615,1,
,D,Yedlin,NEW,D,0.18,0.18,2.8,2.8,2.3,529,4.5,1.1,-836,-1,
,T,Alderweireld,TOT,D,0.17,0.17,3.0,3.0,3.0,530,5.9,2.6,2145,1,
,M,Zanka,HUD,D,0.16,0.16,2.7,2.7,2.7,527,4.5,4.3,-5864,-2,
,P,Dummett,NEW,D,0.16,0.16,2.7,2.7,2.3,540,4.5,0.2,-985,-9,
o,A,Adam Smith,BOU,D,0.13,0.13,2.6,2.6,3.3,576,4.5,0.8,-632,-1,
,M,Lowton,BUR,D,0.13,0.13,2.6,2.6,2.0,450,4.8,0.5,-183,-1,
,B,Ecuele Manga,CAR,D,0.13,0.13,2.6,2.6,1.3,630,4.5,0.1,-101,-2,
,J,Vestergaard,SOU,D,0.1,0.1,2.5,2.5,1.0,540,4.8,0.4,-707,-3,
,C,Cédric,SOU,D,0.07,0.07,2.3,2.3,0.7,595,4.4,5.2,-8958,-3,
,C,Kabasele,WAT,D,0.07,0.07,2.3,2.3,1.3,630,4.5,0.6,-221,-1,
,C,Taylor,BUR,D,-0.02,0.05,1.9,2.2,3.0,450,4.4,0.3,740,4,
,F,Balbuena,WHU,D,0.02,0.02,2.1,2.1,4.0,630,4.4,0.3,759,4,
,C,Clark,NEW,D,0.16,0.0,2.7,2.0,2.3,485,4.5,0.3,-454,-3,
,W,Hoedt,SOU,D,0.0,0.0,2.0,2.0,0.3,630,4.4,0.3,-547,-3,
,I,Diop,WHU,D,0.0,0.0,2.0,2.0,3.3,450,4.3,0.6,1216,4,
,C,Schindler,HUD,D,-0.02,-0.02,1.9,1.9,1.3,610,4.4,1.9,-6229,-6,
,F,Hadergjonaj,HUD,D,-0.04,-0.04,1.8,1.8,1.3,496,4.5,0.1,-75,-1,
,V,Lindelöf,MUN,D,-0.06,-0.04,1.7,1.8,0.7,538,4.9,1.0,-4531,-8,
,C,Löwe,HUD,D,-0.07,-0.07,1.7,1.7,1.3,520,4.4,0.1,-97,-2,
,W,Morgan,LEI,D,-0.09,-0.09,1.6,1.6,1.3,428,4.5,0.9,286,1,
,T,Kongolo,HUD,D,-0.2,-0.18,1.1,1.2,1.0,549,4.4,0.2,-694,-6,
