I,web_name,team,T,VA/M,pt,g,p/g,min,min/g,price,%
B,Davies,TOT,D,1.05,49,6,8.2,529,88.0,5.9,24.2
A,Valencia,MUN,D,0.71,47,7,6.7,630,90.0,6.6,12.1
E,Bailly,MUN,D,0.69,38,6,6.3,540,90.0,6.2,16.7
N,Monreal,ARS,D,0.71,41,7,5.9,630,90.0,5.5,6.7
S,Ward,BUR,D,0.85,41,7,5.9,630,90.0,4.6,8.4
C,Azpilicueta,CHE,D,0.59,41,7,5.9,630,90.0,6.6,14.6
P,Jones,MUN,D,0.75,41,7,5.9,630,90.0,5.2,8.9
S,Kolasinac,ARS,D,0.63,35,6,5.8,515,85.0,6.0,13.0
M,Yoshida,SOU,D,0.76,35,6,5.8,540,90.0,5.0,3.1
K,Walker,MCI,D,0.58,35,6,5.8,493,82.0,6.5,14.0
J,Fonte,WHU,D,0.78,29,5,5.8,433,86.0,4.9,2.1
K,Trippier,TOT,D,0.69,34,6,5.7,453,75.0,5.4,4.4
N,Otamendi,MCI,D,0.63,39,7,5.6,610,87.0,5.7,14.9
S,Mustafi,ARS,D,0.59,26,5,5.2,450,90.0,5.4,1.8
F,Kiko Femenía,WAT,D,0.71,31,6,5.2,493,82.0,4.5,4.9
J,Stones,MCI,D,0.54,35,7,5.0,494,70.0,5.6,8.0
J,Lascelles,NEW,D,0.62,34,7,4.9,623,89.0,4.7,11.1
H,Bellerín,ARS,D,0.46,33,7,4.7,630,90.0,5.9,10.6
H,Maguire,LEI,D,0.53,33,7,4.7,630,90.0,5.1,7.1
A,Hegazi,WBA,D,0.55,33,7,4.7,596,85.0,4.9,26.0
M,Alonso,CHE,D,0.37,32,7,4.6,598,85.0,7.0,17.5
C,Schindler,HUD,D,0.57,32,7,4.6,630,90.0,4.6,5.1
C,Löwe,HUD,D,0.58,32,7,4.6,571,81.0,4.5,4.1
M,Zanka,HUD,D,0.57,32,7,4.6,630,90.0,4.6,8.7
D,David Luiz,CHE,D,0.37,21,5,4.2,446,89.0,5.9,13.6
V,Moses,CHE,D,0.34,21,5,4.2,431,86.0,6.5,1.0
A,Nyom,WBA,D,0.44,25,6,4.2,438,73.0,5.0,2.5
W,Reid,WHU,D,0.45,21,5,4.2,450,90.0,4.9,1.0
C,Clark,NEW,D,0.47,29,7,4.1,630,90.0,4.5,3.2
K,Naughton,SWA,D,0.46,29,7,4.1,627,89.0,4.6,5.7
M,Lowton,BUR,D,0.44,28,7,4.0,630,90.0,4.5,1.2
