W,I,web_name  ,team,T,VA/M ,VA/ML,p/g,p/gl,form,min,price,%   ,txn   ,gf ,100320
m,A,Lacazette ,ARS ,F,0.33 ,0.58 ,5.1,7.5 ,6.0 ,456,9.5  ,7.3 ,50187 ,12 ,      
o,S,Agüero    ,MCI ,F,0.46 ,0.46 ,7.3,7.3 ,7.0 ,511,11.4 ,52.1,-28554,-1 ,      
 ,H,Kane      ,TOT ,F,0.34 ,0.34 ,6.3,6.3 ,8.0 ,626,12.5 ,29.1,170380,10 ,      
m,M,Arnautovic,WHU ,F,0.57 ,0.57 ,6.0,6.0 ,6.3 ,449,7.0  ,16.0,137250,15 ,      
m,A,Mitrovic  ,FUL ,F,0.53 ,0.53 ,5.7,5.7 ,3.7 ,630,7.0  ,27.5,-38283,-2 ,      
 ,R,Lukaku    ,MUN ,F,0.25 ,0.3  ,4.7,5.3 ,3.3 ,563,11.0 ,8.9 ,-65565,-13,      
 ,K,Iheanacho ,LEI ,F,0.32 ,0.54 ,3.9,5.2 ,6.0 ,388,5.9  ,1.5 ,-458  ,-1 ,      
 ,D,Ings      ,SOU ,F,0.44 ,0.56 ,4.5,5.2 ,3.0 ,442,5.7  ,6.4 ,-17041,-5 ,      
o,C,Wilson    ,BOU ,F,0.48 ,0.48 ,5.0,5.0 ,3.7 ,607,6.3  ,17.6,-37079,-4 ,      
m,J,Vardy     ,LEI ,F,0.36 ,0.34 ,5.2,5.0 ,7.0 ,338,8.9  ,4.8 ,23392 ,9  ,      
m,G,Murray    ,BHA ,F,0.35 ,0.43 ,4.3,4.8 ,3.0 ,557,6.5  ,2.1 ,-1543 ,-1 ,      
 ,O,Giroud    ,CHE ,F,0.17 ,0.35 ,3.3,4.7 ,4.7 ,287,7.8  ,2.6 ,-3956 ,-3 ,      
 ,R,Firmino   ,LIV ,F,0.28 ,0.28 ,4.6,4.6 ,4.3 ,591,9.4  ,23.4,-50387,-4 ,      
m,W,Zaha      ,CRY ,F,0.36 ,0.36 ,4.5,4.5 ,5.0 ,540,7.0  ,23.8,-33396,-2 ,      
~,~,~~~~~~~~  ,~~~~,~,~~~~ ,~~~~~,~~~,4.45,~~~~,~~~,~~~~~,~   ,~~~   ,~~ ,~~~~~~
 ,L,Vietto    ,FUL ,F,0.33 ,0.44 ,3.8,4.4 ,3.7 ,403,5.5  ,0.8 ,-440  ,-1 ,      
m,R,Jiménez   ,WOL ,F,0.41 ,0.41 ,4.3,4.3 ,6.0 ,611,5.6  ,6.5 ,29203 ,8  ,      
 ,J,King      ,BOU ,F,0.33 ,0.33 ,4.1,4.1 ,5.0 ,605,6.3  ,4.5 ,-14254,-6 ,      
 ,P,Aubameyang,ARS ,F,0.19 ,0.19 ,4.0,4.0 ,4.7 ,554,10.8 ,10.0,-52045,-9 ,      
 ,S,Vokes     ,BUR ,F,0.06 ,0.38 ,2.3,4.0 ,4.0 ,320,5.3  ,0.7 ,3836  ,10 ,      
 ,A,Gray      ,WAT ,F,0.33 ,0.33 ,4.0,4.0 ,5.3 ,521,6.0  ,1.3 ,3601  ,5  ,      
 ,T,Deeney    ,WAT ,F,0.33 ,0.33 ,4.0,4.0 ,1.7 ,628,6.1  ,5.6 ,-15255,-5 ,      
o,C,Tosun     ,EVE ,F,0.15 ,0.15 ,3.0,3.0 ,2.7 ,448,6.8  ,2.8 ,-5691 ,-4 ,      
 ,J,Ayew      ,CRY ,F,0.14 ,0.14 ,2.8,2.8 ,3.0 ,316,5.9  ,0.3 ,-513  ,-3 ,      
 ,J,Joselu    ,NEW ,F,0.18 ,0.16 ,2.9,2.8 ,1.7 ,418,5.0  ,4.9 ,-8480 ,-3 ,      
 ,S,Mounie    ,HUD ,F,0.05 ,0.1  ,2.3,2.6 ,1.0 ,437,5.9  ,0.2 ,-606  ,-5 ,      
 ,A,Pérez     ,NEW ,F,-0.02,0.0  ,1.9,2.0 ,2.0 ,489,6.2  ,1.2 ,-3000 ,-4 ,      
 ,A,Barnes    ,BUR ,F,0.14 ,-0.18,2.8,1.0 ,4.3 ,149,5.7  ,0.6 ,-1432 ,-4 ,      
