I,web_name,team,T,VA/M,pt,g,p/g,min,min/g,price,%
F,Forster,SOU,G,0.74,40,7,5.7,630,90.0,5.0,8.6
D,de Gea,MUN,G,0.71,42,7,6.0,630,90.0,5.6,37.2
J,Lössl,HUD,G,0.63,34,7,4.9,630,90.0,4.6,8.9
L,Fabianski,SWA,G,0.6,33,7,4.7,630,90.0,4.5,7.9
K,Schmeichel,LEI,G,0.54,33,7,4.7,630,90.0,5.0,4.2
P,Cech,ARS,G,0.53,34,7,4.9,630,90.0,5.5,5.7
E,Ederson,MCI,G,0.47,32,7,4.6,585,83.0,5.5,4.3
T,Courtois,CHE,G,0.42,30,7,4.3,630,90.0,5.5,13.5
R,Elliot,NEW,G,0.41,26,7,3.7,630,90.0,4.1,25.0
~,~~~~~~~~,~~~~,~,0.4,~~,~,~~~,~~~,~~~~~,~~~~~,~
H,Lloris,TOT,G,0.38,29,7,4.1,630,90.0,5.5,12.1
B,Foster,WBA,G,0.36,25,7,3.6,630,90.0,4.5,15.8
M,Ryan,BHA,G,0.31,24,7,3.4,630,90.0,4.5,0.6
H,Gomes,WAT,G,0.31,24,7,3.4,630,90.0,4.5,2.3
S,Mignolet,LIV,G,0.24,19,6,3.2,540,90.0,4.9,1.4
J,Hart,WHU,G,0.24,22,7,3.1,630,90.0,4.5,8.7
J,Butland,STK,G,0.22,22,7,3.1,630,90.0,5.0,3.6
A,Begovic,BOU,G,0.2,20,7,2.9,630,90.0,4.5,4.2
J,Pickford,EVE,G,0.18,20,7,2.9,630,90.0,5.0,8.0
W,Hennessey,CRY,G,0.16,19,7,2.7,630,90.0,4.5,1.2
