team,8~12_avg,8,9~13_avg,9,10,11,12,13
BHA,2.32,2,2.68,3,2,3,2,3
TOT,2.48,2,3.03,2,5,3,3,4
ARS,2.52,2,3.06,3,3,4,2,3
LEI,2.52,2,3.06,4,2,2,2,3
HUD,2.65,2,3.32,4,3,2,2,3
BOU,2.68,3,2.39,2,2,4,3,4
MUN,2.68,2,3.35,4,2,3,5,2
CRY,2.71,2,3.48,3,4,4,4,4
EVE,2.84,3,2.65,2,4,2,4,2
WAT,2.87,3,2.77,3,2,3,3,4
CHE,3.03,3,3.1,4,2,2,2,4
BUR,3.06,2,4.13,5,4,2,3,2
WOL,3.1,3,3.16,3,3,4,4,2
WHU,3.16,3,3.39,4,3,2,2,5
FUL,3.26,4,2.45,2,3,2,5,2
NEW,3.26,4,2.45,2,3,3,3,2
CAR,3.48,4,2.94,2,5,3,2,3
SOU,3.52,4,2.97,3,2,5,3,2
LIV,3.68,5,2.29,2,2,4,2,3
MCI,3.87,5,2.65,2,4,2,4,2
