W,I,web_name  ,team,T,VA/M,VA/ML,p/g,p/gl,form,min,price,%   ,txn    ,gf ,101921
m,A,Lacazette ,ARS ,F,0.41,0.66 ,6.0,8.4 ,8.3 ,535,9.7  ,13.6,284873 ,36 ,      
o,S,Agüero    ,MCI ,F,0.4 ,0.4  ,6.5,6.5 ,5.0 ,576,11.3 ,51.3,61554  ,2  ,      
o,C,Wilson    ,BOU ,F,0.64,0.64 ,6.1,6.1 ,7.0 ,697,6.4  ,22.4,283277 ,22 ,      
 ,H,Kane      ,TOT ,F,0.29,0.29 ,5.6,5.6 ,7.7 ,716,12.5 ,30.1,-128170,-7 ,      
m,G,Murray    ,BHA ,F,0.44,0.52 ,4.9,5.4 ,4.0 ,647,6.6  ,2.9 ,37836  ,23 ,      
m,M,Arnautovic,WHU ,F,0.47,0.47 ,5.3,5.3 ,2.7 ,539,7.0  ,16.8,-49670 ,-5 ,      
 ,J,King      ,BOU ,F,0.52,0.5  ,5.3,5.2 ,5.7 ,695,6.4  ,5.3 ,53579  ,18 ,      
 ,S,Vokes     ,BUR ,F,0.21,0.6  ,3.1,5.2 ,6.3 ,409,5.3  ,0.9 ,7207   ,14 ,      
m,A,Mitrovic  ,FUL ,F,0.48,0.46 ,5.3,5.2 ,3.7 ,720,6.9  ,26.2,-34976 ,-2 ,      
 ,K,Iheanacho ,LEI ,F,0.34,0.54 ,4.0,5.2 ,6.3 ,454,5.9  ,1.5 ,-114   ,0  ,      
 ,R,Lukaku    ,MUN ,F,0.22,0.27 ,4.4,4.9 ,2.0 ,653,10.9 ,6.9 ,-93383 ,-23,      
~,~,~~~~~~~~  ,~~~~,~,~~~~,~~~~~,~~~,4.64,~~~~,~~~,~~~~~,~   ,~~~    ,~~ ,~~~~~~
 ,D,Ings      ,SOU ,F,0.36,0.45 ,4.0,4.5 ,1.0 ,532,5.6  ,5.7 ,-28294 ,-9 ,      
o,J,Vardy     ,LEI ,F,0.3 ,0.27 ,4.7,4.4 ,7.0 ,428,9.0  ,4.8 ,-19460 ,-7 ,      
m,R,Jiménez   ,WOL ,F,0.43,0.43 ,4.4,4.4 ,5.0 ,686,5.6  ,7.6 ,43508  ,10 ,      
 ,L,Vietto    ,FUL ,F,0.35,0.42 ,3.9,4.3 ,4.3 ,485,5.5  ,0.9 ,2411   ,5  ,      
 ,R,Firmino   ,LIV ,F,0.25,0.24 ,4.3,4.2 ,2.0 ,662,9.3  ,21.8,-44262 ,-4 ,      
 ,W,Zaha      ,CRY ,F,0.3 ,0.3  ,4.1,4.1 ,3.3 ,630,6.9  ,19.1,-229086,-21,      
 ,P,Aubameyang,ARS ,F,0.32,0.19 ,5.4,4.0 ,8.0 ,582,10.7 ,9.4 ,34579  ,6  ,      
 ,T,Deeney    ,WAT ,F,0.3 ,0.3  ,3.8,3.8 ,1.7 ,718,6.0  ,4.8 ,-40899 ,-15,      
 ,A,Gray      ,WAT ,F,0.27,0.27 ,3.6,3.6 ,3.0 ,575,6.0  ,1.2 ,-9313  ,-13,      
 ,S,Mounie    ,HUD ,F,0.02,0.1  ,2.1,2.6 ,0.7 ,468,5.8  ,0.2 ,-928   ,-8 ,      
 ,A,Pérez     ,NEW ,F,0.05,0.07 ,2.3,2.4 ,3.0 ,576,6.1  ,1.1 ,-1225  ,-2 ,      
 ,A,Barnes    ,BUR ,F,0.12,-0.09,2.7,1.5 ,4.7 ,209,5.7  ,0.5 ,-4236  ,-15,      
